id,area,name,type,type2,Lat,Lon,totalcar
001,信義區,府前廣場地下停車場,1,2,25.036088713997714,121.56299732925113,2019
002,信義區,松壽廣場地下停車場,1,2,25.03714669600036,121.56628035534452,437
003,信義區,臺北市災害應變中心地下停車場,1,1,25.028806331929662,121.5662260284535,169
004,信義區,雅祥公園地下停車場,1,1,25.047444247514896,121.57187070518074,204
005,北投區,立農公園地下停車場,1,1,25.118430183567227,121.50356949655345,204
006,信義區,台北世界貿易中心展覽三館停車場,1,2,25.0353269946102,121.56450246963402,665
007,萬華區,萬華國中地下停車場,1,1,25.02899272394761,121.49920699677827,508
008,信義區,台北君悅大飯店停車場,1,2,25.03570322503147,121.56261352146868,377
009,信義區,臺北世界貿易中心展覽大樓停車場,1,2,25.03333534301211,121.56232795816673,336
010,信義區,台北世界貿易中心國際貿易大樓地下停車場,1,2,25.03431508192599,121.56113007678046,410
011,信義區,台北國際會議中心停車場,1,2,25.0333177561561,121.56086587833158,483
012,信義區,威秀A17停車場,1,2,25.035373340534345,121.56722066239132,105
013,信義區,威秀A16停車場,1,2,25.035363640539206,121.56663952062644,75
014,信義區,興雅國中地下停車場,1,1,25.034905915768732,121.57280999836065,438
015,萬華區,峨眉立體停車場,1,1,25.044036602917373,121.50538537329068,528
016,中正區,中山堂地下停車場,1,1,25.044012218775826,121.51045808475631,431
018,萬華區,洛陽綜合立體停車場,1,1,25.048244019856007,121.50587417219158,1676
019,大同區,塔城公園地下停車場,1,1,25.050819231969136,121.51098000202803,147
020,士林區,百齡高中地下停車場,1,1,25.086150675680617,121.5239985439963,227
021,士林區,前港公園地下停車場,1,1,25.085372331898046,121.52028870186645,520
022,信義區,五分埔公園地下停車場,1,1,25.046627191964273,121.58044180825269,206
023,松山區,民權公園地下停車場,1,1,25.061612162106893,121.55797436122941,699
024,大安區,金華公園地下停車場,1,1,25.029525642570363,121.53164895314427,189
025,萬華區,古亭國中地下停車場,1,1,25.024421517043624,121.51055591219452,255
027,文山區,景華公園地下停車場,1,1,24.995261603586147,121.54378663640327,731
028,信義區,松山高中地下停車場,1,1,25.04407662008312,121.56407481428235,223
029,內湖區,東湖國小地下停車場,1,1,25.06854628680099,121.61569872878381,358
030,大同區,大稻埕公園地下停車場,1,1,25.05839275625122,121.51046820499641,200
031,大安區,附中公園地下停車場,1,1,25.0362913875828,121.54229161052989,114
032,松山區,西松高中地下停車場,1,1,25.055812154256817,121.56588222963546,334
033,中山區,進安公園地下停車場,1,2,25.046112633565972,121.53770541657593,147
034,文山區,辛亥國小地下停車場,1,2,25.006274817941584,121.55862421844368,126
035,大同區,成淵高中地下停車場,1,1,25.060906545315444,121.51980805543691,267
036,北投區,大豐公園地下停車場,1,1,25.131128363060938,121.50393615359009,230
037,大安區,大安高工地下停車場,1,1,25.03263507362081,121.5418548611147,515
038,南港區,成德立體停車場,1,1,25.04588636317541,121.58604991761551,180
039,士林區,社園立體停車場,1,1,25.089581395268507,121.50595328004087,280
040,松山區,健康國小地下停車場,1,1,25.056537955208718,121.56235465177318,190
041,信義區,忠信地下停車場,1,1,25.040419316888965,121.56778319103674,314
042,大同區,建成國中地下停車場,1,1,25.051488853269028,121.5198756850295,330
043,南港區,興中立體停車場,1,1,25.05610449323135,121.6065022207724,639
044,萬華區,青年公園高爾夫球場地下停車場,1,1,25.023779004639884,121.50778270012675,321
045,信義區,台北101停車場,1,2,25.03373475678632,121.56373066286773,1263
047,大安區,遠企中心地下停車場,1,2,25.026006665595855,121.5492556411368,425
048,信義區,信義廣場地下停車場,1,1,25.033146073617417,121.56581163492996,372
049,北投區,大業立體停車場,1,1,25.137677843340963,121.50289062096768,122
050,北投區,北投運動中心停車場,1,2,25.116729691227373,121.5097702811702,93
051,內湖區,大湖公園地下停車場,1,2,25.083361822755688,121.6017372683209,221
052,松山區,民生社區活動中心地下停車場,1,2,25.059761557254685,121.56269810413808,147
053,松山區,民生立體停車場,1,1,25.058343554962704,121.55946417707716,447
054,松山區,北寧路地下停車場,1,2,25.048721121493838,121.55241687691537,76
055,大同區,市民大道(塔城段),1,1,25.050366109625244,121.50914028970253,241
056,大安區,大安森林公園地下停車場,1,1,25.032950276604502,121.53734524419697,1360
057,中山區,市民大道(公中段) ,1,1,25.04833805207321,121.51920468685181,180
058,中山區,市民大道(中林段),1,1,25.047902156201175,121.52273720740378,486
059,中山區,市民大道(林金段),1,1,25.047065193965434,121.52725011858901,950
060,中山區,市民大道(建復段),1,1,25.044556209012487,121.54088480755803,178
061,北投區,陽明山立體停車場,1,2,25.155182196801082,121.53895028213235,209
062,松山區,市民大道(復敦段),1,1,25.04507796632736,121.54677242113898,209
064,松山區,市民大道(敦延段),1,1,25.044666200111415,121.55060926895426,212
065,松山區,市民大道(延吉段),1,1,25.044366910499033,121.55357574195723,77
066,大同區,揚雅立體停車場,1,1,25.067464156455895,121.5158257444651,204
067,萬華區,雙園國中地下停車場,1,1,25.027728317527487,121.49165503481794,314
068,士林區,文昌國小地下停車場,1,1,25.099655112856226,121.52083300083989,222
069,萬華區,青年公園棒球場地下停車場,1,1,25.02354526390045,121.50327016338026,276
070,中山區,榮星花園地下停車場,1,1,25.06388875309652,121.53960743308025,242
071,大同區,朝陽公園地下停車場,1,1,25.055951550231843,121.51317022893471,237
072,士林區,福林公園地下停車場,1,1,25.095814417072937,121.53026021679489,242
073,中山區,林森公園地下停車場,1,1,25.052449009206715,121.52597330387658,833
074,松山區,偶戲博物館地下停車場,1,2,25.047283427656403,121.56206185569691,69
075,松山區,中崙高中地下停車場,1,1,25.050012844291846,121.56116282413173,340
076,北投區,陽明山第二停車場,1,2,25.154873125563018,121.54557025414982,127
077,北投區,陽明山花鐘停車場,1,2,25.158503116045146,121.53927447597653,31
078,內湖區,洲子立體停車場,1,1,25.079382977173285,121.56932186750569,384
079,大安區,僑安地下停車場,1,1,25.040998829493535,121.5566642826101,412
080,大安區,龍門國中地下停車場,1,1,25.023498468208214,121.53862535992742,730
081,內湖區,康樂立體停車場,1,1,25.07211743032314,121.61911792883267,153
082,中山區,永盛公園地下停車場,1,1,25.0591631149107,121.52469134254744,224
084,內湖區,麗湖國小地下停車場,1,2,25.07310010711689,121.6015782241981,223
085,文山區,臺北花木批發市場地下停車場,1,2,25.004426723840115,121.5406292338062,409
086,北投區,振興公園地下停車場,1,1,25.118592811706336,121.52352311078563,213
087,松山區,民有市場地下停車場,1,1,25.06068253204126,121.54705908949035,334
088,信義區,三張里地下停車場,1,1,25.030915461015983,121.56674886765181,356
089,信義區,春光公園地下停車場,1,1,25.042242533481524,121.58069990389413,213
090,萬華區,萬板地下停車場,1,1,25.028629970750156,121.491268681117,180
091,萬華區,艋舺公園地下停車場,1,1,25.036264020806644,121.5000520662836,474
092,中山區,濱江國中地下停車場,1,2,25.079499401386723,121.56163065857803,203
093,大同區,建成公園地下停車場,1,1,25.053985990479735,121.51838593842416,232
094,士林區,捷運劍潭站轉乘停車場,1,2,25.08228764421285,121.5245677701854,139
095,北投區,捷運北投站轉乘停車場,1,2,25.132834907815845,121.49814719627572,85
096,北投區,石牌國小地下停車場,1,1,25.114401369191427,121.51278040820694,460
097,士林區,海光公園地下停車場,1,1,25.080663196584663,121.5082835801387,103
098,內湖區,港富立體停車場,1,1,25.080525807307904,121.57794698533894,239
099,中山區,長安國小地下停車場,1,1,25.049572516784174,121.53025562261277,284
100,北投區,七星公園地下停車場,1,2,25.136543981189956,121.50194291036804,328
101,文山區,捷運木柵機廠停車場,1,2,25.0006973053027,121.58393047286133,692
102,士林區,承德公園地下停車場,1,1,25.08978466156968,121.52199445348842,176
103,南港區,南港國小地下停車場,1,1,25.05712848030788,121.6110970524944,311
105,南港區,玉成國小地下停車場,1,1,25.053558672758736,121.59282165200943,289
106,大同區,蓬萊國小地下停車場,1,1,25.05655896022047,121.5162698966257,280
107,信義區,信義國小地下停車場,1,1,25.03137022943796,121.56322742598948,226
109,內湖區,湖興立體停車場,1,1,25.067711149423733,121.59041815232105,257
110,內湖區,西湖公園地下停車場,1,2,25.08243140984062,121.57018171047335,171
111,士林區,蘭雅公園地下停車場,1,1,25.109768700186404,121.52895666386175,151
112,中山區,臺北市中山運動中心停車場,1,2,25.05485858193854,121.52147277767955,57
113,文山區,興隆公園地下停車場,1,1,25.000192255754218,121.55130761169738,259
114,文山區,景美國小地下停車場,1,1,24.98869054885972,121.54027284727051,253
115,文山區,木柵動物園停車場,1,1,24.997713256010424,121.57852264269238,943
116,大安區,台灣大學新生南路地下停車場,1,2,25.0191469656193,121.53403402582994,353
117,大安區,台灣大學公館停車場,1,2,25.01228600380598,121.53685604808226,460
118,大安區,台灣大學綜合體育館地下停車場,1,2,25.022134979012314,121.536146042493,208
119,大同區,大龍國小地下停車場,1,1,25.074128263332824,121.51664380948068,265
120,南港區,世貿公園地下停車場,1,1,25.057915856307584,121.61541475023873,400
121,南港區,南港運動中心停車場,1,2,25.048684759606214,121.58169060036386,94
123,大安區,台灣聯通臺大長興停車場,1,2,25.017357913273646,121.54501791656949,113
